player,during_hot,next_game_stat,regression,next_opp,next_location,opp_def_tier,opp_3p_pct_allowed,opp_pace,minutes_trend,was_blowout_recent
AJ Green,4.666666666666667,4.0,0.666666666666667,BOS,home,Elite (top 10),0.347,96.59,2.9132420091324214,False
AJ Green,4.0,0.0,4.0,ORL,away,Bad (21-30),0.365,96.51,-0.08675799086757863,True
Aaron Gordon,3.3333333333333335,1.0,2.3333333333333335,OKC,away,Elite (top 10),0.342,100.9,3.627450980392158,False
Aaron Gordon,3.0,2.0,1.0,LAL,home,Elite (top 10),0.356,98.34,-2.0392156862745097,False
Aaron Gordon,3.3333333333333335,4.0,-0.6666666666666665,GSW,away,Mid (11-20),0.363,99.37,-2.705882352941174,True
Aaron Gordon,3.6666666666666665,1.0,2.6666666666666665,POR,away,Mid (11-20),0.361,99.51,4.2941176470588225,True
Aaron Gordon,3.3333333333333335,1.0,2.3333333333333335,HOU,away,Mid (11-20),0.357,99.03,4.627450980392158,False
Aaron Nesmith,3.6666666666666665,2.0,1.6666666666666665,ATL,away,Bad (21-30),0.377,103.41,7.711111111111109,False
Aaron Nesmith,3.3333333333333335,3.0,0.3333333333333335,DAL,home,Mid (11-20),0.363,100.15,6.711111111111112,True
Aaron Nesmith,4.0,2.0,2.0,BKN,home,Mid (11-20),0.362,96.73,8.044444444444444,False
Aaron Nesmith,3.6666666666666665,2.0,1.6666666666666665,BKN,home,Mid (11-20),0.362,96.73,10.37777777777778,False
Aaron Wiggins,3.3333333333333335,4.0,-0.6666666666666665,NOP,home,Bad (21-30),0.365,99.77,9.013157894736842,False
Aaron Wiggins,4.333333333333333,1.0,3.333333333333333,MIA,home,Mid (11-20),0.36,97.08,9.013157894736842,True
Aaron Wiggins,4.333333333333333,2.0,2.333333333333333,MIN,away,Elite (top 10),0.353,97.95,7.346491228070175,False
Aaron Wiggins,3.3333333333333335,2.0,1.3333333333333335,HOU,home,Mid (11-20),0.357,99.03,3.3464912280701746,False
Aaron Wiggins,3.3333333333333335,3.0,0.3333333333333335,MEM,away,Mid (11-20),0.36,103.69,2.0131578947368425,False
Aaron Wiggins,3.3333333333333335,2.0,1.3333333333333335,POR,home,Mid (11-20),0.361,99.51,3.3464912280701746,True
Aaron Wiggins,3.3333333333333335,2.0,1.3333333333333335,HOU,away,Mid (11-20),0.357,99.03,4.346491228070175,False
Al Horford,3.6666666666666665,2.0,1.6666666666666665,MIN,home,Elite (top 10),0.353,97.95,2.333333333333332,True
Al Horford,3.6666666666666665,0.0,3.6666666666666665,CHI,away,Elite (top 10),0.344,103.61,4.9999999999999964,False
Alec Burks,4.666666666666667,1.0,3.666666666666667,WAS,away,Mid (11-20),0.364,101.82,2.3469387755102034,False
Alec Burks,3.6666666666666665,4.0,-0.3333333333333335,NOP,away,Bad (21-30),0.365,99.77,4.346938775510203,False
Alex Caruso,2.6666666666666665,0.0,2.6666666666666665,MIA,home,Mid (11-20),0.36,97.08,2.4074074074074083,True
Alex Sarr,3.0,2.0,1.0,NYK,home,Bad (21-30),0.367,97.64,3.2288557213930353,False
Alex Sarr,3.0,3.0,0.0,POR,away,Mid (11-20),0.361,99.51,1.2288557213930353,False
Alex Sarr,3.6666666666666665,4.0,-0.3333333333333335,UTA,away,Mid (11-20),0.358,100.85,0.8955223880597032,False
Alex Sarr,4.0,3.0,1.0,ORL,home,Bad (21-30),0.365,96.51,-1.437810945273629,False
Alex Sarr,3.3333333333333335,0.0,3.3333333333333335,NYK,away,Bad (21-30),0.367,97.64,-2.7711442786069647,True
Amir Coffey,3.0,1.0,2.0,TOR,home,Elite (top 10),0.349,100.62,2.3888888888888893,False
Amir Coffey,3.3333333333333335,1.0,2.3333333333333335,MIN,home,Elite (top 10),0.353,97.95,-2.6111111111111107,False
Amir Coffey,3.0,1.0,2.0,DEN,away,Bad (21-30),0.365,100.67,-1.2777777777777786,True
Amir Coffey,3.6666666666666665,1.0,2.6666666666666665,MIN,away,Elite (top 10),0.353,97.95,6.388888888888889,True
Amir Coffey,3.3333333333333335,0.0,3.3333333333333335,DEN,away,Bad (21-30),0.365,100.67,3.7222222222222214,False
Amir Coffey,3.3333333333333335,0.0,3.3333333333333335,MEM,home,Mid (11-20),0.36,103.69,-0.27777777777777857,False
Amir Coffey,3.0,0.0,3.0,MIL,away,Elite (top 10),0.353,99.92,-1.2777777777777786,False
Andrew Nembhard,1.6666666666666667,1.0,0.6666666666666667,OKC,home,Elite (top 10),0.342,100.9,-0.6358974358974372,False
Andrew Nembhard,1.6666666666666667,0.0,1.6666666666666667,POR,away,Mid (11-20),0.361,99.51,1.6974358974358985,False
Andrew Nembhard,1.6666666666666667,1.0,0.6666666666666667,ATL,away,Bad (21-30),0.377,103.41,5.030769230769231,False
Andrew Wiggins,3.6666666666666665,2.0,1.6666666666666665,HOU,away,Mid (11-20),0.357,99.03,-5.683333333333334,False
Anthony Black,2.0,1.0,1.0,DAL,home,Mid (11-20),0.363,100.15,4.53846153846154,True
Anthony Black,2.0,1.0,1.0,SAC,home,Bad (21-30),0.381,98.91,4.53846153846154,False
Antonio Reeves,3.0,1.0,2.0,LAC,away,Elite (top 10),0.35,98.24,8.666666666666668,False
Antonio Reeves,2.6666666666666665,4.0,-1.3333333333333335,BKN,away,Mid (11-20),0.362,96.73,16.0,False
Antonio Reeves,3.6666666666666665,2.0,1.6666666666666665,MIL,away,Elite (top 10),0.353,99.92,15.0,False
Antonio Reeves,3.6666666666666665,2.0,1.6666666666666665,MIA,home,Mid (11-20),0.36,97.08,19.666666666666664,False
Antonio Reeves,2.6666666666666665,0.0,2.6666666666666665,OKC,home,Elite (top 10),0.342,100.9,18.666666666666664,True
Ayo Dosunmu,2.6666666666666665,3.0,-0.3333333333333335,CHA,home,Elite (top 10),0.355,98.22,3.7173913043478244,True
Ayo Dosunmu,2.6666666666666665,1.0,1.6666666666666665,TOR,away,Elite (top 10),0.349,100.62,2.7173913043478244,False
Ayo Dosunmu,2.6666666666666665,2.0,0.6666666666666665,BOS,away,Elite (top 10),0.347,96.59,-1.9492753623188435,True
Ayo Dosunmu,2.6666666666666665,2.0,0.6666666666666665,TOR,away,Elite (top 10),0.349,100.62,1.0507246376811565,True
Ayo Dosunmu,2.6666666666666665,2.0,0.6666666666666665,DET,away,Bad (21-30),0.366,100.27,3.3840579710144887,False
Ben Sheppard,3.0,1.0,2.0,DAL,away,Mid (11-20),0.363,100.15,6.1269841269841265,False
Ben Sheppard,2.6666666666666665,2.0,0.6666666666666665,ORL,home,Bad (21-30),0.365,96.51,4.1269841269841265,False
Ben Sheppard,3.0,0.0,3.0,CHA,away,Elite (top 10),0.355,98.22,0.7936507936507908,False
Ben Sheppard,2.3333333333333335,0.0,2.3333333333333335,WAS,away,Mid (11-20),0.364,101.82,-0.5396825396825413,False
Bennedict Mathurin,3.3333333333333335,1.0,2.3333333333333335,ORL,away,Bad (21-30),0.365,96.51,7.138888888888889,True
Bennedict Mathurin,3.3333333333333335,0.0,3.3333333333333335,MIA,home,Mid (11-20),0.36,97.08,7.472222222222225,False
Bennedict Mathurin,2.6666666666666665,1.0,1.6666666666666665,MIA,home,Mid (11-20),0.36,97.08,5.138888888888889,True
Bennedict Mathurin,2.6666666666666665,0.0,2.6666666666666665,TOR,away,Elite (top 10),0.349,100.62,6.805555555555554,False
Bennedict Mathurin,2.6666666666666665,0.0,2.6666666666666665,PHI,home,Bad (21-30),0.378,98.13,2.8055555555555536,False
Bobby Portis,3.0,0.0,3.0,BKN,home,Mid (11-20),0.362,96.73,2.632653061224488,False
Bogdan Bogdanović,3.3333333333333335,0.0,3.3333333333333335,NYK,home,Bad (21-30),0.367,97.64,10.740740740740737,True
Brandin Podziemski,4.0,2.0,2.0,MIA,away,Mid (11-20),0.36,97.08,6.458333333333336,False
Brandin Podziemski,5.0,4.0,1.0,DEN,home,Bad (21-30),0.365,100.67,3.458333333333332,False
Brandin Podziemski,4.0,4.0,0.0,HOU,home,Mid (11-20),0.357,99.03,6.458333333333336,False
Brandin Podziemski,5.333333333333333,4.0,1.333333333333333,PHX,away,Bad (21-30),0.37,98.31,7.458333333333336,True
Brandin Podziemski,4.0,1.0,3.0,SAS,home,Bad (21-30),0.365,100.08,2.791666666666668,True
Brandon Boston,2.3333333333333335,0.0,2.3333333333333335,CLE,away,Mid (11-20),0.359,100.31,10.999999999999996,False
Brandon Boston,2.3333333333333335,1.0,1.3333333333333335,HOU,away,Mid (11-20),0.357,99.03,4.666666666666664,False
Brice Sensabaugh,5.0,2.0,3.0,CHA,home,Elite (top 10),0.355,98.22,6.788732394366196,False
Brice Sensabaugh,4.666666666666667,6.0,-1.333333333333333,MIN,away,Elite (top 10),0.353,97.95,12.788732394366196,True
Brook Lopez,3.6666666666666665,2.0,1.6666666666666665,CHI,home,Elite (top 10),0.344,103.61,4.841666666666665,False
Brook Lopez,3.3333333333333335,1.0,2.3333333333333335,DET,away,Bad (21-30),0.366,100.27,2.5083333333333364,False
Brook Lopez,3.3333333333333335,0.0,3.3333333333333335,IND,away,Elite (top 10),0.355,100.76,4.175000000000001,False
Brook Lopez,3.3333333333333335,1.0,2.3333333333333335,ORL,away,Bad (21-30),0.365,96.51,-1.8249999999999993,False
Brook Lopez,3.3333333333333335,1.0,2.3333333333333335,NYK,away,Bad (21-30),0.367,97.64,1.841666666666665,False
Bruce Brown,1.6666666666666667,0.0,1.6666666666666667,ATL,away,Bad (21-30),0.377,103.41,-0.7723577235772332,False
Bruce Brown,1.6666666666666667,3.0,-1.3333333333333333,MIN,away,Elite (top 10),0.353,97.95,3.894308943089431,False
Bruce Brown,2.3333333333333335,1.0,1.3333333333333335,DET,away,Bad (21-30),0.366,100.27,0.560975609756099,True
Bruce Brown,2.6666666666666665,2.0,0.6666666666666665,GSW,home,Mid (11-20),0.363,99.37,6.894308943089431,False
Bruce Brown,2.0,0.0,2.0,CHA,home,Elite (top 10),0.355,98.22,7.227642276422767,False
Bub Carrington,4.0,2.0,2.0,SAS,home,Bad (21-30),0.365,100.08,6.382113821138212,True
Bub Carrington,3.3333333333333335,4.0,-0.6666666666666665,IND,home,Elite (top 10),0.355,100.76,4.048780487804876,False
Bub Carrington,3.6666666666666665,0.0,3.6666666666666665,MIL,home,Elite (top 10),0.353,99.92,7.048780487804876,False
Bub Carrington,4.666666666666667,1.0,3.666666666666667,BOS,away,Elite (top 10),0.347,96.59,8.71544715447154,False
Bub Carrington,4.333333333333333,2.0,2.333333333333333,IND,away,Elite (top 10),0.355,100.76,9.71544715447154,True
Bub Carrington,3.3333333333333335,2.0,1.3333333333333335,PHI,home,Bad (21-30),0.378,98.13,10.382113821138212,False
Buddy Hield,5.0,4.0,1.0,NOP,home,Bad (21-30),0.365,99.77,2.8983739837398375,False
Buddy Hield,5.666666666666667,3.0,2.666666666666667,WAS,away,Mid (11-20),0.364,101.82,7.23170731707317,False
Caleb Martin,3.3333333333333335,1.0,2.3333333333333335,UTA,away,Mid (11-20),0.358,100.85,4.266666666666666,False
Caleb Martin,3.6666666666666665,1.0,2.6666666666666665,POR,away,Mid (11-20),0.361,99.51,6.599999999999998,False
Caleb Martin,3.0,2.0,1.0,SAC,away,Bad (21-30),0.381,98.91,10.26666666666667,True
Cam Whitmore,3.0,2.0,1.0,DEN,away,Bad (21-30),0.365,100.67,1.7450980392156872,False
Cameron Johnson,6.333333333333333,3.0,3.333333333333333,SAC,away,Bad (21-30),0.381,98.91,3.4210526315789487,False
Cameron Johnson,6.0,1.0,5.0,GSW,away,Mid (11-20),0.363,99.37,4.421052631578949,False
Cameron Payne,2.6666666666666665,5.0,-2.3333333333333335,WAS,home,Mid (11-20),0.364,101.82,2.541666666666668,False
Cameron Payne,3.3333333333333335,2.0,1.3333333333333335,PHX,away,Bad (21-30),0.37,98.31,4.541666666666668,True
Cameron Payne,3.3333333333333335,3.0,0.3333333333333335,UTA,away,Mid (11-20),0.358,100.85,6.875,False
Cameron Payne,3.3333333333333335,2.0,1.3333333333333335,DEN,away,Bad (21-30),0.365,100.67,11.541666666666668,False
Cameron Payne,2.6666666666666665,4.0,-1.3333333333333335,MIN,home,Elite (top 10),0.353,97.95,-3.458333333333334,False
Cameron Payne,2.6666666666666665,3.0,-0.3333333333333335,ATL,home,Bad (21-30),0.377,103.41,-3.791666666666666,False
Cameron Payne,3.0,0.0,3.0,BKN,away,Mid (11-20),0.362,96.73,-4.458333333333334,False
Caris LeVert,3.3333333333333335,1.0,2.3333333333333335,GSW,home,Mid (11-20),0.363,99.37,1.7916666666666679,False
Chet Holmgren,3.3333333333333335,0.0,3.3333333333333335,PHX,away,Bad (21-30),0.37,98.31,-0.4375,False
Chris Boucher,3.6666666666666665,3.0,0.6666666666666665,GSW,home,Mid (11-20),0.363,99.37,-0.28000000000000114,False
Chris Boucher,4.0,1.0,3.0,BOS,home,Elite (top 10),0.347,96.59,5.719999999999999,False
Chris Boucher,3.0,1.0,2.0,WAS,away,Mid (11-20),0.364,101.82,1.7199999999999989,True
Chris Paul,3.0,3.0,0.0,MIN,home,Elite (top 10),0.353,97.95,1.060975609756099,True
Chris Paul,3.0,2.0,1.0,LAC,away,Elite (top 10),0.35,98.24,2.394308943089431,False
Chris Paul,3.0,1.0,2.0,MEM,home,Mid (11-20),0.36,103.69,2.394308943089431,False
Chris Paul,3.3333333333333335,0.0,3.3333333333333335,TOR,away,Elite (top 10),0.349,100.62,-1.605691056910569,False
Cody Martin,2.3333333333333335,1.0,1.3333333333333335,BOS,home,Elite (top 10),0.347,96.59,2.867924528301888,False
Cody Martin,2.3333333333333335,1.0,1.3333333333333335,BOS,home,Elite (top 10),0.347,96.59,3.867924528301888,False
Cody Martin,2.0,0.0,2.0,MIN,away,Elite (top 10),0.353,97.95,1.20125786163522,False
Cody Martin,2.0,1.0,1.0,MIL,home,Elite (top 10),0.353,99.92,3.867924528301888,False
Cody Williams,1.6666666666666667,0.0,1.6666666666666667,DET,home,Bad (21-30),0.366,100.27,-3.453333333333333,False
Cody Williams,1.6666666666666667,1.0,0.6666666666666667,BOS,away,Elite (top 10),0.347,96.59,2.546666666666667,True
Cole Anthony,2.6666666666666665,2.0,0.6666666666666665,SAC,away,Bad (21-30),0.381,98.91,7.915422885572138,False
Cole Anthony,2.3333333333333335,0.0,2.3333333333333335,DEN,away,Bad (21-30),0.365,100.67,7.582089552238806,False
Cole Anthony,2.3333333333333335,1.0,1.3333333333333335,HOU,away,Mid (11-20),0.357,99.03,7.582089552238806,False
Cole Anthony,2.3333333333333335,0.0,2.3333333333333335,CLE,away,Mid (11-20),0.359,100.31,10.248756218905474,False
Cole Anthony,2.3333333333333335,1.0,1.3333333333333335,IND,away,Elite (top 10),0.355,100.76,-3.0845771144278604,True
Collin Sexton,3.3333333333333335,1.0,2.3333333333333335,DAL,home,Mid (11-20),0.363,100.15,8.031746031746032,False
Collin Sexton,3.6666666666666665,3.0,0.6666666666666665,POR,away,Mid (11-20),0.361,99.51,7.031746031746032,False
Corey Kispert,3.6666666666666665,2.0,1.6666666666666665,DET,home,Bad (21-30),0.366,100.27,6.754098360655739,False
Corey Kispert,3.6666666666666665,4.0,-0.3333333333333335,NYK,away,Bad (21-30),0.367,97.64,2.754098360655739,False
Corey Kispert,4.0,1.0,3.0,ORL,away,Bad (21-30),0.365,96.51,-1.5792349726775932,False
D'Angelo Russell,3.6666666666666665,1.0,2.6666666666666665,MIA,away,Mid (11-20),0.36,97.08,3.166666666666668,False
D'Angelo Russell,3.3333333333333335,0.0,3.3333333333333335,CHA,away,Elite (top 10),0.355,98.22,3.166666666666668,True
DaQuan Jeffries,2.3333333333333335,0.0,2.3333333333333335,HOU,home,Mid (11-20),0.357,99.03,2.2340425531914896,False
DaQuan Jeffries,2.3333333333333335,3.0,-0.6666666666666665,SAS,away,Bad (21-30),0.365,100.08,6.23404255319149,False
DaQuan Jeffries,3.0,1.0,2.0,LAC,away,Elite (top 10),0.35,98.24,10.23404255319149,False
DaQuan Jeffries,2.6666666666666665,3.0,-0.3333333333333335,ATL,home,Bad (21-30),0.377,103.41,10.900709219858154,True
DaQuan Jeffries,2.3333333333333335,3.0,-0.6666666666666665,NYK,home,Bad (21-30),0.367,97.64,10.900709219858154,True
DaQuan Jeffries,2.3333333333333335,3.0,-0.6666666666666665,OKC,away,Elite (top 10),0.342,100.9,10.900709219858154,False
DaQuan Jeffries,3.0,1.0,2.0,MIA,away,Mid (11-20),0.36,97.08,6.900709219858157,False
DaQuan Jeffries,2.3333333333333335,1.0,1.3333333333333335,ORL,home,Bad (21-30),0.365,96.51,3.9007092198581574,False
Dalano Banton,3.0,3.0,0.0,OKC,away,Elite (top 10),0.342,100.9,7.9353233830845795,False
Dalano Banton,2.6666666666666665,0.0,2.6666666666666665,HOU,away,Mid (11-20),0.357,99.03,8.268656716417912,False
Dalton Knecht,4.0,9.0,-5.0,UTA,home,Mid (11-20),0.358,100.85,12.205128205128204,False
Dalton Knecht,5.333333333333333,3.0,2.333333333333333,ORL,home,Bad (21-30),0.365,96.51,14.538461538461537,True
Dalton Knecht,5.666666666666667,1.0,4.666666666666667,DEN,home,Bad (21-30),0.365,100.67,18.871794871794872,False
Dalton Knecht,4.333333333333333,1.0,3.333333333333333,PHX,away,Bad (21-30),0.37,98.31,15.871794871794872,True
Dalton Knecht,3.6666666666666665,1.0,2.6666666666666665,UTA,away,Mid (11-20),0.358,100.85,8.53846153846154,False
Dalton Knecht,3.6666666666666665,0.0,3.6666666666666665,MIN,away,Elite (top 10),0.353,97.95,12.205128205128204,True
Darius Garland,5.666666666666667,2.0,3.666666666666667,BKN,home,Mid (11-20),0.362,96.73,1.0,True
Darius Garland,4.333333333333333,2.0,2.333333333333333,DEN,away,Bad (21-30),0.365,100.67,-2.666666666666668,True
Darius Garland,4.333333333333333,1.0,3.333333333333333,TOR,away,Elite (top 10),0.349,100.62,-0.6666666666666679,True
Davion Mitchell,2.3333333333333335,1.0,1.3333333333333335,NYK,home,Bad (21-30),0.367,97.64,5.288288288288285,False
Davion Mitchell,2.6666666666666665,1.0,1.6666666666666665,CLE,away,Mid (11-20),0.359,100.31,9.621621621621621,False
Davion Mitchell,2.3333333333333335,3.0,-0.6666666666666665,BOS,away,Elite (top 10),0.347,96.59,5.954954954954957,True
Davion Mitchell,2.6666666666666665,3.0,-0.3333333333333335,MEM,home,Mid (11-20),0.36,103.69,6.621621621621621,True
Davion Mitchell,2.3333333333333335,1.0,1.3333333333333335,MIL,home,Elite (top 10),0.353,99.92,6.954954954954957,False
Davion Mitchell,2.3333333333333335,0.0,2.3333333333333335,PHI,home,Bad (21-30),0.378,98.13,9.288288288288285,False
De'Andre Hunter,4.0,3.0,1.0,MIL,away,Elite (top 10),0.353,99.92,1.78125,False
De'Andre Hunter,4.333333333333333,4.0,0.33333333333333304,TOR,away,Elite (top 10),0.349,100.62,3.78125,False
De'Andre Hunter,4.333333333333333,2.0,2.333333333333333,BKN,away,Mid (11-20),0.362,96.73,2.447916666666668,False
De'Andre Hunter,4.0,0.0,4.0,CHI,away,Elite (top 10),0.344,103.61,2.114583333333332,False
Dean Wade,3.0,2.0,1.0,GSW,away,Mid (11-20),0.363,99.37,2.7288135593220346,True
Deni Avdija,3.3333333333333335,3.0,0.3333333333333335,TOR,home,Elite (top 10),0.349,100.62,4.986111111111111,False
Deni Avdija,4.0,3.0,1.0,WAS,home,Mid (11-20),0.364,101.82,8.652777777777775,False
Deni Avdija,3.3333333333333335,5.0,-1.6666666666666665,MEM,home,Mid (11-20),0.36,103.69,3.9861111111111107,False
Deni Avdija,3.6666666666666665,4.0,-0.3333333333333335,DEN,home,Bad (21-30),0.365,100.67,3.3194444444444464,True
Deni Avdija,4.0,2.0,2.0,BOS,home,Elite (top 10),0.347,96.59,4.652777777777775,True
Deni Avdija,3.6666666666666665,3.0,0.6666666666666665,CLE,home,Mid (11-20),0.359,100.31,8.652777777777775,False
Dennis Schröder,3.3333333333333335,5.0,-1.6666666666666665,DEN,home,Bad (21-30),0.365,100.67,5.559999999999999,True
Dennis Schröder,4.333333333333333,6.0,-1.666666666666667,MEM,away,Mid (11-20),0.36,103.69,8.22666666666667,False
Dennis Schröder,5.333333333333333,1.0,4.333333333333333,CHI,home,Elite (top 10),0.344,103.61,8.893333333333334,False
Dennis Schröder,4.0,1.0,3.0,DET,home,Bad (21-30),0.366,100.27,8.22666666666667,False
Derrick Jones Jr.,2.3333333333333335,0.0,2.3333333333333335,TOR,home,Elite (top 10),0.349,100.62,1.3290043290043307,False
Derrick Jones Jr.,2.6666666666666665,2.0,0.6666666666666665,HOU,away,Mid (11-20),0.357,99.03,3.3290043290043307,False
Derrick Jones Jr.,2.3333333333333335,0.0,2.3333333333333335,MIL,home,Elite (top 10),0.353,99.92,6.995670995670995,False
Derrick Jones Jr.,2.3333333333333335,1.0,1.3333333333333335,PHX,away,Bad (21-30),0.37,98.31,7.995670995670999,False
Desmond Bane,4.333333333333333,2.0,2.333333333333333,POR,away,Mid (11-20),0.361,99.51,0.40579710144927716,False
