player,hot_n_total,hot_regression_total,hot_n_b2b,hot_regression_b2b,hot_n_rested,hot_regression_rested
AJ Green,2,2.33,0,,2,2.33
Aaron Gordon,5,1.53,0,,5,1.53
Aaron Nesmith,4,1.42,1,2.0,3,1.22
Aaron Wiggins,7,1.33,2,1.83,5,1.13
Al Horford,2,2.67,0,,2,2.67
Alec Burks,2,1.67,0,,2,1.67
Alex Caruso,1,2.67,0,,1,2.67
Alex Sarr,5,1.0,1,3.33,4,0.42
Amir Coffey,7,2.67,2,2.17,5,2.87
Andrew Nembhard,3,1.0,1,1.67,2,0.67
Andrew Wiggins,1,1.67,0,,1,1.67
Anthony Black,2,1.0,0,,2,1.0
Antonio Reeves,5,1.33,1,1.67,4,1.25
Ayo Dosunmu,5,0.67,0,,5,0.67
Ben Sheppard,4,2.0,1,2.33,3,1.89
Bennedict Mathurin,5,2.53,0,,5,2.53
Bobby Portis,1,3.0,0,,1,3.0
Bogdan Bogdanović,1,3.33,0,,1,3.33
Brandin Podziemski,5,1.47,2,2.0,3,1.11
Brandon Boston,2,1.83,1,2.33,1,1.33
Brice Sensabaugh,2,0.83,0,,2,0.83
Brook Lopez,5,2.4,0,,5,2.4
Bruce Brown,5,0.87,0,,5,0.87
Bub Carrington,6,2.06,1,1.33,5,2.2
Buddy Hield,2,1.83,1,1.0,1,2.67
Caleb Martin,3,2.0,0,,3,2.0
Cam Whitmore,1,1.0,0,,1,1.0
Cameron Johnson,2,4.17,1,5.0,1,3.33
Cameron Payne,7,0.29,2,0.33,5,0.27
Caris LeVert,1,2.33,0,,1,2.33
Cason Wallace,0,,0,,0,
Chet Holmgren,1,3.33,1,3.33,0,
Chris Boucher,3,1.89,0,,3,1.89
Chris Paul,4,1.58,0,,4,1.58
Cody Martin,4,1.42,1,1.33,3,1.44
Cody Williams,2,1.17,2,1.17,0,
Cole Anthony,5,1.6,1,2.33,4,1.42
Collin Sexton,2,1.5,0,,2,1.5
Corey Kispert,3,1.44,1,-0.33,2,2.33
D'Angelo Russell,2,3.0,0,,2,3.0
DaQuan Jeffries,8,0.67,1,-0.67,7,0.86
Dalano Banton,2,1.33,0,,2,1.33
Dalton Knecht,6,1.94,1,3.67,5,1.6
Darius Garland,3,3.11,1,3.67,2,2.83
Davion Mitchell,6,0.94,1,-0.33,5,1.2
De'Andre Hunter,4,1.92,0,,4,1.92
Dean Wade,1,1.0,0,,1,1.0
Deni Avdija,6,0.33,1,1.0,5,0.2
Dennis Schröder,4,1.0,1,-1.67,3,1.89
Derrick Jones Jr.,4,1.67,1,2.33,3,1.44
Desmond Bane,3,2.0,1,1.33,2,2.33
Devin Vassell,4,1.17,2,2.0,2,0.33
Dillon Brooks,3,2.11,0,,3,2.11
Donovan Mitchell,4,1.42,0,,4,1.42
Donte DiVincenzo,5,1.87,1,1.33,4,2.0
Dorian Finney-Smith,2,2.33,0,,2,2.33
Draymond Green,0,,0,,0,
Duncan Robinson,2,1.5,0,,2,1.5
Eric Gordon,7,0.67,2,0.17,5,0.87
Evan Mobley,5,2.07,2,2.0,3,2.11
Gabe Vincent,7,2.05,2,2.0,5,2.07
Garrison Mathews,4,1.83,2,2.0,2,1.67
Gary Trent Jr.,7,2.1,3,2.0,4,2.17
Georges Niang,5,2.0,1,1.33,4,2.17
Gradey Dick,2,3.5,0,,2,3.5
Grayson Allen,1,3.33,0,,1,3.33
Guerschon Yabusele,1,3.33,0,,1,3.33
Harrison Barnes,5,1.6,1,-2.0,4,2.5
Haywood Highsmith,3,2.67,1,2.67,2,2.67
Immanuel Quickley,1,4.0,0,,1,4.0
Isaac Okoro,0,,0,,0,
Isaiah Collier,7,1.14,2,1.33,5,1.07
Isaiah Joe,4,3.67,0,,4,3.67
Ja Morant,3,0.11,1,2.0,2,-0.83
Ja'Kobe Walter,3,1.0,1,-1.0,2,2.0
Jabari Smith Jr.,0,,0,,0,
Jaden Hardy,3,2.89,0,,3,2.89
Jaden Ivey,0,,0,,0,
Jaden McDaniels,3,1.44,2,2.0,1,0.33
Jake LaRavia,5,1.6,1,2.0,4,1.5
Jalen Smith,5,0.8,2,1.33,3,0.44
Jalen Suggs,3,2.0,0,,3,2.0
Jalen Wilson,3,0.56,1,-0.67,2,1.17
Jamal Shead,5,1.33,1,2.33,4,1.08
Jamison Battle,1,2.67,0,,1,2.67
Jarace Walker,6,0.67,0,,6,0.67
Jared Butler,9,0.74,1,0.67,8,0.75
Jaren Jackson Jr.,4,1.17,2,1.17,2,1.17
Javonte Green,1,0.67,0,,1,0.67
Jaylen Wells,1,1.67,0,,1,1.67
Jaylin Williams,3,1.89,1,3.0,2,1.33
Jeremiah Robinson-Earl,0,,0,,0,
John Collins,3,1.11,0,,3,1.11
Johnny Juzang,5,1.47,0,,5,1.47
Jonathan Isaac,0,,0,,0,
Jonathan Kuminga,2,1.33,0,,2,1.33
Jordan Clarkson,4,0.33,0,,4,0.33
Jordan Hawkins,0,,0,,0,
Jordan Poole,2,0.5,0,,2,0.5
Jose Alvarado,4,2.33,0,,4,2.33
Josh Giddey,7,1.0,0,,7,1.0
Josh Green,2,2.0,1,3.0,1,1.0
Josh Okogie,0,,0,,0,
Jrue Holiday,2,3.0,0,,2,3.0
Julian Champagnie,3,2.89,0,,3,2.89
Julian Strawther,4,1.33,0,,4,1.33
Justin Champagnie,1,0.67,0,,1,0.67
Justin Edwards,6,0.89,3,1.11,3,0.67
Jusuf Nurkić,4,1.25,1,1.67,3,1.11
KJ Simpson,2,1.67,1,2.33,1,1.0
Kawhi Leonard,0,,0,,0,
Keaton Wallace,3,1.56,1,2.33,2,1.17
Keldon Johnson,5,1.93,1,2.33,4,1.83
Kenrich Williams,8,1.12,2,1.83,6,0.89
Kentavious Caldwell-Pope,6,1.78,2,3.17,4,1.08
Keon Ellis,3,2.78,2,2.5,1,3.33
Keon Johnson,6,1.72,1,3.0,5,1.47
Kevin Huerter,4,2.08,0,,4,2.08
Kevin Porter Jr.,3,1.11,1,-0.67,2,2.0
Keyonte George,2,2.67,0,,2,2.67
Khris Middleton,5,1.13,0,,5,1.13
Klay Thompson,4,3.33,1,3.0,3,3.44
Kris Dunn,1,1.67,0,,1,1.67
Kristaps Porziņģis,4,2.42,0,,4,2.42
Kyle Filipowski,9,0.89,2,1.83,7,0.62
Kyle Kuzma,3,1.44,0,,3,1.44
Kyle Lowry,6,0.83,0,,6,0.83
Kyshawn George,5,1.8,2,1.83,3,1.78
LaMelo Ball,0,,0,,0,
Landry Shamet,3,1.67,2,2.83,1,-0.67
Lauri Markkanen,3,2.67,0,,3,2.67
Lindy Waters III,0,,0,,0,
Lonzo Ball,4,1.5,0,,4,1.5
Luguentz Dort,3,4.11,0,,3,4.11
Luke Kennard,2,4.0,1,4.0,1,4.0
Malik Beasley,3,1.78,2,2.0,1,1.33
Malik Monk,6,1.17,1,1.33,5,1.13
Marcus Smart,2,3.0,0,,2,3.0
Matas Buzelis,8,1.17,2,2.33,6,0.78
Max Christie,10,1.3,4,1.0,6,1.5
Max Strus,1,3.0,0,,1,3.0
Micah Potter,0,,0,,0,
Mike Conley,0,,0,,0,
Miles Bridges,7,1.86,1,4.0,6,1.5
Miles McBride,3,1.67,0,,3,1.67
Moritz Wagner,2,1.5,0,,2,1.5
Moses Moody,2,2.33,0,,2,2.33
Mouhamed Gueye,1,1.67,0,,1,1.67
Myles Turner,3,1.33,0,,3,1.33
Naji Marshall,4,0.75,2,0.5,2,1.0
Naz Reid,4,1.08,2,1.0,2,1.17
Nick Smith Jr.,3,2.0,0,,3,2.0
Nickeil Alexander-Walker,4,2.25,1,2.0,3,2.33
Nicolas Batum,7,0.86,1,1.33,6,0.78
Nikola Jović,3,1.0,1,0.0,2,1.5
Nikola Vučević,6,1.78,2,1.0,4,2.17
Noah Clowney,2,1.83,1,3.0,1,0.67
Obi Toppin,7,1.62,2,3.0,5,1.07
Ochai Agbaji,5,1.4,0,,5,1.4
Onyeka Okongwu,5,1.0,2,1.67,3,0.56
Patrick Williams,2,2.17,0,,2,2.17
Payton Pritchard,6,3.0,1,0.33,5,3.53
Peyton Watson,5,1.33,0,,5,1.33
Quentin Grimes,6,2.11,0,,6,2.11
Quinten Post,3,1.33,0,,3,1.33
Ricky Council IV,6,1.67,1,1.67,5,1.67
Royce O'Neale,6,2.0,1,1.67,5,2.07
Rui Hachimura,1,2.67,0,,1,2.67
Russell Westbrook,3,1.56,0,,3,1.56
Ryan Dunn,7,0.76,0,,7,0.76
Sam Hauser,3,2.11,0,,3,2.11
Sam Merrill,3,1.44,1,2.0,2,1.17
Santi Aldama,0,,0,,0,
Scoot Henderson,5,1.47,1,1.33,4,1.5
Scotty Pippen Jr.,7,1.38,1,-0.67,6,1.72
Seth Curry,4,1.67,2,1.83,2,1.5
Shaedon Sharpe,3,1.67,0,,3,1.67
Simone Fontecchio,1,2.33,0,,1,2.33
Spencer Dinwiddie,7,1.62,1,0.67,6,1.78
Stephon Castle,5,1.33,0,,5,1.33
Svi Mykhailiuk,2,2.83,0,,2,2.83
Tari Eason,2,0.67,0,,2,0.67
Taurean Prince,3,2.22,0,,3,2.22
Terance Mann,4,0.75,1,-2.0,3,1.67
Terry Rozier,5,0.53,0,,5,0.53
Tidjane Salaün,2,1.33,1,2.33,1,0.33
Tim Hardaway Jr.,4,2.17,1,3.33,3,1.78
Tobias Harris,7,1.71,1,0.67,6,1.89
Trendon Watford,0,,0,,0,
Trey Lyles,5,1.93,1,2.0,4,1.92
Tristan da Silva,2,2.83,0,,2,2.83
Ty Jerome,6,2.28,1,4.0,5,1.93
Tyrese Martin,4,1.92,1,0.33,3,2.44
Tyus Jones,6,1.22,1,-0.33,5,1.53
Vasilije Micic,2,1.17,0,,2,1.17
Vít Krejčí,2,3.17,0,,2,3.17
Wendell Carter Jr.,8,1.0,2,0.83,6,1.06
Zaccharie Risacher,4,2.83,1,3.33,3,2.67
Ziaire Williams,5,2.6,1,3.67,4,2.33
